# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri May 12 10:14:28 2023
#
# User preference: *
#
# CONSTRAINT:  where (koi_pdisposition like '%CANDIDATE%'
# CONSTRAINT:  and koi_count >= 2)
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_count:      Number of Planets
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
#
kepid,kepoi_name,kepler_name,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_count,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
5358241,K00829.01,Kepler-53 b,CANDIDATE,18.649327280,5.2020000e-05,-5.2020000e-05,3.12,4.700e-01,-2.800e-01,3,1.0530,0.1610,-0.0940,1.0260,0.0620,-0.0620
10875245,K00117.02,Kepler-107 c,CANDIDATE,4.901449760,1.0700000e-05,-1.0700000e-05,1.70,8.000e-02,-5.000e-02,4,1.4020,0.0630,-0.0460,1.1130,0.0920,-0.0500
5358241,K00829.02,Kepler-53 d,CANDIDATE,9.751921010,4.8290000e-05,-4.8290000e-05,2.76,4.300e-01,-2.400e-01,3,1.0530,0.1610,-0.0940,1.0260,0.0620,-0.0620
5358241,K00829.03,Kepler-53 c,CANDIDATE,38.557654600,1.7650000e-04,-1.7650000e-04,4.02,6.200e-01,-3.600e-01,3,1.0530,0.1610,-0.0940,1.0260,0.0620,-0.0620
4725681,K00817.01,Kepler-236 c,CANDIDATE,23.967936690,9.2490000e-05,-9.2490000e-05,1.80,1.000e-01,-1.500e-01,2,0.5240,0.0300,-0.0440,0.5360,0.0350,-0.0390
4725681,K00817.02,Kepler-236 b,CANDIDATE,8.295617380,2.3680000e-05,-2.3680000e-05,1.82,1.000e-01,-1.500e-01,2,0.5240,0.0300,-0.0440,0.5360,0.0350,-0.0390
10875245,K00117.01,Kepler-107 e,CANDIDATE,14.749148250,2.1740000e-05,-2.1740000e-05,2.89,1.300e-01,-1.000e-01,4,1.4020,0.0630,-0.0460,1.1130,0.0920,-0.0500
5252423,K00825.01,Kepler-237 c,CANDIDATE,8.103632710,2.0320000e-05,-2.0320000e-05,2.11,1.800e-01,-2.000e-01,2,0.7320,0.0620,-0.0680,0.7330,0.0750,-0.0610
5252423,K00825.02,Kepler-237 b,CANDIDATE,4.715108430,1.9410000e-05,-1.9410000e-05,1.46,1.200e-01,-1.400e-01,2,0.7320,0.0620,-0.0680,0.7330,0.0750,-0.0610
5792202,K00841.01,Kepler-27 b,CANDIDATE,15.335286750,1.9890000e-05,-1.9890000e-05,5.00,4.900e-01,-1.800e-01,5,0.8170,0.0800,-0.0290,0.9260,0.0320,-0.0640
10875245,K00117.04,Kepler-107 d,CANDIDATE,7.958253280,7.6730000e-05,-7.6730000e-05,1.06,5.000e-02,-4.000e-02,4,1.4020,0.0630,-0.0460,1.1130,0.0920,-0.0500
5792202,K00841.02,Kepler-27 c,CANDIDATE,31.330461350,3.9770000e-05,-3.9770000e-05,6.50,6.400e-01,-2.300e-01,5,0.8170,0.0800,-0.0290,0.9260,0.0320,-0.0640
5436502,K00834.01,Kepler-238 e,CANDIDATE,23.653694150,1.7480000e-05,-1.7480000e-05,7.89,1.380e+00,-1.520e+00,5,1.3840,0.2420,-0.2660,1.0830,0.1000,-0.0750
5436502,K00834.02,Kepler-238 d,CANDIDATE,13.233522140,4.5030000e-05,-4.5030000e-05,3.06,5.400e-01,-5.800e-01,5,1.3840,0.2420,-0.2660,1.0830,0.1000,-0.0750
5436502,K00834.03,Kepler-238 c,CANDIDATE,6.155602850,2.7040000e-05,-2.7040000e-05,2.32,4.000e-01,-4.500e-01,5,1.3840,0.2420,-0.2660,1.0830,0.1000,-0.0750
5436502,K00834.04,Kepler-238 b,CANDIDATE,2.090811305,9.5710000e-06,-9.5710000e-06,1.62,2.800e-01,-3.200e-01,5,1.3840,0.2420,-0.2660,1.0830,0.1000,-0.0750
10875245,K00117.03,Kepler-107 b,CANDIDATE,3.180027898,7.2780000e-06,-7.2780000e-06,1.53,7.000e-02,-5.000e-02,4,1.4020,0.0630,-0.0460,1.1130,0.0920,-0.0500
5436502,K00834.05,Kepler-238 f,CANDIDATE,50.446741700,6.5050000e-04,-6.5050000e-04,2.67,4.700e-01,-5.100e-01,5,1.3840,0.2420,-0.2660,1.0830,0.1000,-0.0750
5456651,K00835.01,Kepler-239 b,CANDIDATE,11.763071640,2.0350000e-05,-2.0350000e-05,2.35,1.700e-01,-8.000e-02,2,0.7560,0.0540,-0.0270,0.8490,0.0250,-0.0600
5456651,K00835.02,Kepler-239 c,CANDIDATE,56.227927100,3.1340000e-04,-3.1340000e-04,2.37,1.700e-01,-9.000e-02,2,0.7560,0.0540,-0.0270,0.8490,0.0250,-0.0600
5531576,K00837.01,Kepler-240 c,CANDIDATE,7.953547000,1.9100000e-05,-1.9100000e-05,2.25,7.000e-02,-1.400e-01,2,0.7790,0.0230,-0.0490,0.7590,0.0460,-0.0270
5531576,K00837.02,Kepler-240 b,CANDIDATE,4.144516560,1.4400000e-05,-1.4400000e-05,1.48,5.000e-02,-9.000e-02,2,0.7790,0.0230,-0.0490,0.7590,0.0460,-0.0270
6428700,K00853.01,Kepler-242 b,CANDIDATE,8.203969580,1.4880000e-05,-1.4880000e-05,3.01,2.400e-01,-3.000e-01,2,0.8260,0.0660,-0.0830,0.7850,0.0780,-0.0560
6428700,K00853.02,Kepler-242 c,CANDIDATE,14.496451860,6.3600000e-05,-6.3600000e-05,3.01,2.400e-01,-3.000e-01,2,0.8260,0.0660,-0.0830,0.7850,0.0780,-0.0560
5792202,K00841.03,Kepler-27 d,CANDIDATE,6.546261490,2.6680000e-05,-2.6680000e-05,2.19,2.200e-01,-8.000e-02,5,0.8170,0.0800,-0.0290,0.9260,0.0320,-0.0640
5794379,K00842.01,Kepler-241 b,CANDIDATE,12.718098660,2.3240000e-05,-2.3240000e-05,2.31,1.700e-01,-2.200e-01,2,0.6860,0.0490,-0.0670,0.6700,0.0810,-0.0500
5794379,K00842.02,Kepler-241 c,CANDIDATE,36.065881630,8.3050000e-05,-8.3050000e-05,2.64,1.900e-01,-2.600e-01,2,0.6860,0.0490,-0.0670,0.6700,0.0810,-0.0500
6948054,K00869.01,Kepler-245 b,CANDIDATE,7.490183050,1.1810000e-05,-1.1810000e-05,2.56,1.700e-01,-1.200e-01,4,0.7870,0.0510,-0.0390,0.8230,0.0410,-0.0470
6948054,K00869.02,Kepler-245 d,CANDIDATE,36.276123800,1.0550000e-04,-1.0550000e-04,3.03,2.000e-01,-1.500e-01,4,0.7870,0.0510,-0.0390,0.8230,0.0410,-0.0470
6948054,K00869.03,Kepler-245 c,CANDIDATE,17.460879310,5.2780000e-05,-5.2780000e-05,2.32,1.500e-01,-1.200e-01,4,0.7870,0.0510,-0.0390,0.8230,0.0410,-0.0470
6587280,K00857.01,Kepler-243 b,CANDIDATE,5.715425977,7.7790000e-06,-7.7790000e-06,2.47,3.700e-01,-1.700e-01,2,0.8260,0.1240,-0.0570,0.9270,0.0470,-0.0950
9471974,K00119.01,Kepler-108 b,CANDIDATE,49.183941850,2.4750000e-05,-2.4750000e-05,8.20,5.000e-01,-5.500e-01,2,2.0570,0.1250,-0.1380,1.2470,0.0820,-0.0670
6587280,K00857.02,Kepler-243 c,CANDIDATE,20.026141200,1.2720000e-04,-1.2720000e-04,2.28,3.500e-01,-1.600e-01,2,0.8260,0.1240,-0.0570,0.9270,0.0470,-0.0950
6849310,K00864.01,Kepler-244 b,CANDIDATE,4.311780262,4.3420000e-06,-4.3420000e-06,3.11,3.900e-01,-2.100e-01,3,0.9270,0.1150,-0.0620,0.9560,0.0440,-0.0590
6849310,K00864.02,Kepler-244 d,CANDIDATE,20.050449400,8.8260000e-05,-8.8260000e-05,2.69,3.300e-01,-1.800e-01,3,0.9270,0.1150,-0.0620,0.9560,0.0440,-0.0590
6849310,K00864.03,Kepler-244 c,CANDIDATE,9.767345030,3.0520000e-05,-3.0520000e-05,2.67,3.300e-01,-1.800e-01,3,0.9270,0.1150,-0.0620,0.9560,0.0440,-0.0590
9471974,K00119.02,Kepler-108 c,CANDIDATE,190.320046800,5.3270000e-04,-5.3270000e-04,7.78,4.800e-01,-5.200e-01,2,2.0570,0.1250,-0.1380,1.2470,0.0820,-0.0670
7366258,K00880.01,Kepler-82 b,CANDIDATE,26.444393370,3.6500000e-05,-3.6500000e-05,3.91,4.300e-01,-2.900e-01,4,0.9290,0.1040,-0.0690,0.9150,0.0510,-0.0510
7366258,K00880.02,Kepler-82 c,CANDIDATE,51.539979720,5.6130000e-05,-5.6130000e-05,5.51,6.200e-01,-4.100e-01,4,0.9290,0.1040,-0.0690,0.9150,0.0510,-0.0510
7366258,K00880.03,Kepler-82 e,CANDIDATE,5.902245782,7.3730000e-06,-7.3730000e-06,2.43,2.700e-01,-1.800e-01,4,0.9290,0.1040,-0.0690,0.9150,0.0510,-0.0510
7366258,K00880.04,Kepler-82 d,CANDIDATE,2.382951591,2.8080000e-06,-2.8080000e-06,1.86,2.100e-01,-1.300e-01,4,0.9290,0.1040,-0.0690,0.9150,0.0510,-0.0510
7373451,K00881.01,Kepler-712 b,CANDIDATE,21.022506080,4.0910000e-05,-4.0910000e-05,3.07,2.100e-01,-1.400e-01,2,0.7500,0.0520,-0.0330,0.7890,0.0440,-0.0440
6948054,K00869.04,Kepler-245 e,CANDIDATE,3.219814777,5.5310000e-06,-5.5310000e-06,1.69,1.100e-01,-8.000e-02,4,0.7870,0.0510,-0.0390,0.8230,0.0410,-0.0470
6949607,K00870.01,Kepler-28 b,CANDIDATE,5.912273234,7.0390000e-06,-7.0390000e-06,1.73,9.000e-02,-1.000e-01,2,0.5700,0.0290,-0.0320,0.5860,0.0290,-0.0360
6949607,K00870.02,Kepler-28 c,CANDIDATE,8.985819010,1.4370000e-05,-1.4370000e-05,1.65,9.000e-02,-9.000e-02,2,0.5700,0.0290,-0.0320,0.5860,0.0290,-0.0360
7109675,K00872.01,Kepler-46 b,CANDIDATE,33.601233710,1.7670000e-05,-1.7670000e-05,8.46,4.000e-01,-5.000e-01,2,0.9300,0.0440,-0.0550,0.8820,0.0400,-0.0290
7109675,K00872.02,Kepler-46 d,CANDIDATE,6.766529280,1.5770000e-05,-1.5770000e-05,1.97,9.000e-02,-1.200e-01,2,0.9300,0.0440,-0.0550,0.8820,0.0400,-0.0290
7134976,K00874.01,Kepler-246 b,CANDIDATE,4.601811819,6.1680000e-06,-6.1680000e-06,2.35,9.000e-02,-1.800e-01,2,0.8330,0.0320,-0.0640,0.7930,0.0500,-0.0290
7134976,K00874.02,Kepler-246 c,CANDIDATE,11.187199050,5.3310000e-05,-5.3310000e-05,1.55,6.000e-02,-1.200e-01,2,0.8330,0.0320,-0.0640,0.7930,0.0500,-0.0290
7287995,K00877.01,Kepler-81 b,CANDIDATE,5.954899930,5.4820000e-06,-5.4820000e-06,2.33,1.000e-01,-1.100e-01,3,0.6330,0.0260,-0.0290,0.6400,0.0350,-0.0290
7287995,K00877.02,Kepler-81 c,CANDIDATE,12.039874880,1.8250000e-05,-1.8250000e-05,2.18,9.000e-02,-1.000e-01,3,0.6330,0.0260,-0.0290,0.6400,0.0350,-0.0290
7287995,K00877.03,Kepler-81 d,CANDIDATE,20.837628950,9.6500000e-05,-9.6500000e-05,1.42,6.000e-02,-7.000e-02,3,0.6330,0.0260,-0.0290,0.6400,0.0350,-0.0290
5094751,K00123.01,Kepler-109 b,CANDIDATE,6.481633073,6.0040000e-06,-6.0040000e-06,2.54,1.100e-01,-1.200e-01,2,1.3020,0.0580,-0.0580,1.0090,0.0570,-0.0470
7678434,K00892.01,Kepler-716 b,CANDIDATE,10.371689280,1.4770000e-05,-1.4770000e-05,3.20,1.800e-01,-2.800e-01,2,0.8880,0.0490,-0.0770,0.8220,0.0530,-0.0290
7678434,K00892.02,Kepler-716 c,CANDIDATE,3.969962980,1.3950000e-05,-1.3950000e-05,1.78,9.000e-02,-1.600e-01,2,0.8880,0.0490,-0.0770,0.8220,0.0530,-0.0290
7373451,K00881.02,Kepler-712 c,CANDIDATE,226.890477500,9.0570000e-04,-9.0570000e-04,4.53,3.200e-01,-2.000e-01,2,0.7500,0.0520,-0.0330,0.7890,0.0440,-0.0440
7434875,K00884.01,Kepler-247 c,CANDIDATE,9.439459486,4.9910000e-06,-4.9910000e-06,4.16,5.000e-01,-2.800e-01,3,0.7790,0.0930,-0.0530,0.8910,0.0390,-0.0970
7434875,K00884.02,Kepler-247 d,CANDIDATE,20.477488430,3.1260000e-05,-3.1260000e-05,2.92,3.500e-01,-1.900e-01,3,0.7790,0.0930,-0.0530,0.8910,0.0390,-0.0970
7434875,K00884.03,Kepler-247 b,CANDIDATE,3.336123113,4.3590000e-06,-4.3590000e-06,1.74,2.000e-01,-1.200e-01,3,0.7790,0.0930,-0.0530,0.8910,0.0390,-0.0970
7455287,K00886.01,Kepler-54 b,CANDIDATE,8.010784560,1.0610000e-05,-1.0610000e-05,1.72,1.300e-01,-2.000e-01,3,0.4700,0.0360,-0.0540,0.4840,0.0380,-0.0530
7455287,K00886.02,Kepler-54 c,CANDIDATE,12.071342050,4.2100000e-05,-4.2100000e-05,1.29,1.000e-01,-1.500e-01,3,0.4700,0.0360,-0.0540,0.4840,0.0380,-0.0530
7455287,K00886.03,Kepler-54 d,CANDIDATE,20.995878720,7.6620000e-05,-7.6620000e-05,1.30,1.000e-01,-1.500e-01,3,0.4700,0.0360,-0.0540,0.4840,0.0380,-0.0530
8150320,K00904.01,Kepler-55 d,CANDIDATE,2.211116989,2.6910000e-06,-2.6910000e-06,1.85,1.300e-01,-5.000e-02,5,0.6460,0.0430,-0.0200,0.7100,0.0290,-0.0430
8150320,K00904.02,Kepler-55 b,CANDIDATE,27.954133700,1.7270000e-04,-1.7270000e-04,1.90,1.300e-01,-6.000e-02,5,0.6460,0.0430,-0.0200,0.7100,0.0290,-0.0430
11086270,K00124.01,Kepler-110 b,CANDIDATE,12.691043870,2.2980000e-05,-2.2980000e-05,2.57,4.000e-01,-6.500e-01,2,1.6260,0.2540,-0.4130,1.0190,0.0980,-0.0980
7825899,K00896.01,Kepler-248 c,CANDIDATE,16.239470960,1.5750000e-05,-1.5750000e-05,4.14,3.800e-01,-1.500e-01,3,0.8370,0.0780,-0.0300,0.9370,0.0240,-0.0620
7825899,K00896.02,Kepler-248 b,CANDIDATE,6.308201629,7.0310000e-06,-7.0310000e-06,2.96,2.800e-01,-1.000e-01,3,0.8370,0.0780,-0.0300,0.9370,0.0240,-0.0620
7870390,K00898.01,Kepler-83 b,CANDIDATE,9.770448600,1.4550000e-05,-1.4550000e-05,2.23,1.400e-01,-2.000e-01,3,0.5090,0.0320,-0.0460,0.5080,0.0370,-0.0330
7870390,K00898.02,Kepler-83 d,CANDIDATE,5.169804269,9.0360000e-06,-9.0360000e-06,1.66,1.100e-01,-1.500e-01,3,0.5090,0.0320,-0.0460,0.5080,0.0370,-0.0330
5094751,K00123.02,Kepler-109 c,CANDIDATE,21.222611950,2.9080000e-05,-2.9080000e-05,2.48,1.100e-01,-1.100e-01,2,1.3020,0.0580,-0.0580,1.0090,0.0570,-0.0470
7870390,K00898.03,Kepler-83 c,CANDIDATE,20.090170370,6.6300000e-05,-6.6300000e-05,2.25,1.400e-01,-2.100e-01,3,0.5090,0.0320,-0.0460,0.5080,0.0370,-0.0330
7907423,K00899.01,Kepler-249 c,CANDIDATE,7.113732570,1.2750000e-05,-1.2750000e-05,1.16,1.300e-01,-1.700e-01,3,0.4110,0.0450,-0.0600,0.4400,0.0410,-0.0760
7907423,K00899.02,Kepler-249 b,CANDIDATE,3.306551643,6.4000000e-06,-6.4000000e-06,0.91,1.000e-01,-1.300e-01,3,0.4110,0.0450,-0.0600,0.4400,0.0410,-0.0760
7907423,K00899.03,Kepler-249 d,CANDIDATE,15.368457370,4.0670000e-05,-4.0670000e-05,1.11,1.200e-01,-1.600e-01,3,0.4110,0.0450,-0.0600,0.4400,0.0410,-0.0760
8490993,K00911.01,Kepler-722 b,CANDIDATE,4.093578461,8.9550000e-06,-8.9550000e-06,2.85,8.000e-01,-3.400e-01,2,0.9990,0.2800,-0.1200,1.0770,0.1260,-0.1530
8490993,K00911.02,Kepler-722 c,CANDIDATE,105.145959000,1.9970000e-03,-1.9970000e-03,3.43,9.600e-01,-4.200e-01,2,0.9990,0.2800,-0.1200,1.0770,0.1260,-0.1530
8505670,K00912.01,Kepler-252 c,CANDIDATE,10.848451800,1.6310000e-05,-1.6310000e-05,2.34,4.400e-01,-4.300e-01,2,0.5910,0.1090,-0.1090,0.6090,0.1240,-0.1010
