# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri May 12 10:17:15 2023
#
# User preference: *
#
# CONSTRAINT:  where (sy_pnum >= 2
# CONSTRAINT:  and disc_facility like '%Kepler%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,disc_facility,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim
KOI-12 b,KOI-12,0,1,2,Kepler,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,17.85521970,0.00000377,-0.00000377,0,14.630,8.540,-3.180,0,,,,,,,,,,0.000000,,,0
KOI-12 b,KOI-12,0,1,2,Kepler,<a refstr=BOURRIER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..55B/abstract target=ref>Bourrier et al. 2015</a>,17.85523330,0.00000090,-0.00000090,0,16.029,1.457,-1.457,0,3178.30000,,,1,3178.30000,,,1,Mass,0.720000,,,1
KOI-142 b,KOI-142,0,1,3,Kepler,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,,,,3.823,0.166,-0.342,0,,,,,,,,,,,,,
KOI-142 b,KOI-142,1,1,3,Kepler,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,10.91647000,0.00014000,-0.00014000,0,3.438,0.075,-0.075,0,9.50000,1.10000,-1.10000,0,9.50000,1.10000,-1.10000,0,Mass,0.055610,0.000130,-0.000130,0
KOI-142 b,KOI-142,0,1,3,Kepler,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,10.95307834,0.00006657,-0.00006657,0,,,,,,,,,,,,,,,,,
KOI-142 b,KOI-142,0,1,3,Kepler,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,10.91610834,0.00000487,-0.00000487,0,,,,0,,,,,,,,,,,,,0
KOI-142 b,KOI-142,0,1,3,Kepler,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,10.91610834,0.00000487,-0.00000487,0,3.930,0.660,-0.150,0,,,,,,,,,,0.000000,,,0
KOI-142 b,KOI-142,0,1,3,Kepler,<a refstr=NESVORNY_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...777....3N/abstract target=ref> Nesvorny et al. 2013 </a>,10.95416000,0.00011000,-0.00013000,0,3.780,0.390,-0.360,0,8.70000,2.50000,-2.50000,0,8.70000,2.50000,-2.50000,0,Mass,0.055930,0.000470,-0.000310,0
KOI-142 b,KOI-142,0,1,3,Kepler,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,10.91610834,0.00000487,-0.00000487,0,3.930,0.660,-0.150,0,,,,,,,,,,0.000000,,,0
KOI-142 b,KOI-142,0,1,3,Kepler,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,10.91638600,0.00001400,-0.00001400,0,3.780,0.200,-0.200,0,,,,,,,,,,0.000000,,,0
KOI-142 c,KOI-142,0,1,3,Kepler,<a refstr=NESVORNY_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...777....3N/abstract target=ref> Nesvorny et al. 2013 </a>,22.33950000,0.00190000,-0.00170000,0,,,,,198.80000,9.20000,-10.60000,0,198.80000,9.20000,-10.60000,0,Mass,0.056280,0.001400,-0.002800,0
KOI-142 c,KOI-142,1,1,3,Kepler,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,22.26492000,0.00067000,-0.00067000,0,,,,,214.10000,5.20000,-5.20000,0,214.10000,5.20000,-5.20000,0,Mass,0.057240,0.000450,-0.000450,0
KOI-1599.01,KOI-1599,0,1,2,Kepler,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,20.41724000,0.00038000,-0.00038000,0,1.900,1.200,-1.200,0,,,,,,,,,,0.000000,,,0
KOI-1599.01,KOI-1599,0,1,2,Kepler,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,20.40748460,0.00031290,-0.00031290,0,,,,0,,,,,,,,,,,,,0
KOI-1599.01,KOI-1599,1,1,2,Kepler,<a refstr=PANICHI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.4601P/abstract target=ref>Panichi et al. 2019</a>,20.44150000,0.00130000,-0.00130000,0,1.900,0.300,-0.300,0,4.60000,0.30000,-0.30000,0,4.60000,0.30000,-0.30000,0,Mass,0.014000,,,0
KOI-1599.01,KOI-1599,0,1,2,Kepler,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,20.40748460,0.00031290,-0.00031290,0,2.900,0.870,-0.310,0,,,,,,,,,,0.000000,,,0
KOI-1599.01,KOI-1599,0,1,2,Kepler,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,20.40713450,0.00030810,-0.00030810,0,1.760,0.730,-0.170,0,,,,,,,,,,0.000000,,,0
KOI-1599.01,KOI-1599,0,1,2,Kepler,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,20.40713450,0.00030810,-0.00030810,0,1.760,0.730,-0.170,0,,,,,,,,,,0.000000,,,0
KOI-1599.01,KOI-1599,0,1,2,Kepler,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,20.40713450,0.00030810,-0.00030810,0,1.760,0.730,-0.170,0,,,,,,,,,,0.000000,,,0
KOI-1599.01,KOI-1599,0,1,2,Kepler,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,20.40857074,0.00002356,-0.00002356,0,,,,,,,,,,,,,,,,,
KOI-1599.02,KOI-1599,0,1,2,Kepler,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,13.61645470,0.00010530,-0.00010530,0,22.290,6.680,-2.380,0,,,,,,,,,,0.000000,,,0
KOI-1599.02,KOI-1599,0,1,2,Kepler,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,13.61645470,0.00010530,-0.00010530,0,,,,0,,,,,,,,,,,,,0
KOI-1599.02,KOI-1599,0,1,2,Kepler,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,13.61634560,0.00012630,-0.00012630,0,64.050,26.680,-6.200,0,,,,,,,,,,0.000000,,,0
KOI-1599.02,KOI-1599,0,1,2,Kepler,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,13.61634560,0.00012630,-0.00012630,0,64.050,26.680,-6.200,0,,,,,,,,,,0.000000,,,0
KOI-1599.02,KOI-1599,0,1,2,Kepler,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,13.61410000,0.00024000,-0.00024000,0,1.900,1.200,-1.200,0,,,,,,,,,,0.000000,,,0
KOI-1599.02,KOI-1599,1,1,2,Kepler,<a refstr=PANICHI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.4601P/abstract target=ref>Panichi et al. 2019</a>,13.60880000,0.00060000,-0.00060000,0,1.900,0.200,-0.200,0,9.00000,0.30000,-0.30000,0,9.00000,0.30000,-0.30000,0,Mass,0.011400,,,0
KOI-1599.02,KOI-1599,0,1,2,Kepler,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,13.61634560,0.00012630,-0.00012630,0,64.050,26.680,-6.200,0,,,,,,,,,,0.000000,,,0
KOI-1783.01,KOI-1783,1,1,2,Kepler,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,134.46280000,0.00330000,-0.00350000,0,8.860,0.250,-0.240,0,71.00000,11.20000,-9.20000,0,71.00000,11.20000,-9.20000,0,Mass,0.000000,,,0
KOI-1783.01,KOI-1783,0,1,2,Kepler,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,134.47851890,0.00017050,-0.00017050,0,10.520,1.650,-2.010,0,,,,,,,,,,0.000000,,,0
KOI-1783.01,KOI-1783,0,1,2,Kepler,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,134.47851890,0.00017050,-0.00017050,0,,,,0,,,,,,,,,,,,,0
KOI-1783.01,KOI-1783,0,1,2,Kepler,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,134.47972000,0.00059000,-0.00059000,0,8.500,3.100,-3.100,0,,,,,,,,,,0.000000,,,0
KOI-1783.01,KOI-1783,0,1,2,Kepler,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,134.47850876,0.00000369,-0.00000369,0,,,,,,,,,,,,,,,,,
KOI-1783.01,KOI-1783,0,1,2,Kepler,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,134.47867230,0.00017960,-0.00017960,0,7.500,2.650,-0.660,0,,,,,,,,,,0.000000,,,0
KOI-1783.01,KOI-1783,0,1,2,Kepler,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,134.47867230,0.00017960,-0.00017960,0,7.500,2.650,-0.660,0,,,,,,,,,,0.000000,,,0
KOI-1783.01,KOI-1783,0,1,2,Kepler,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,134.47867230,0.00017960,-0.00017960,0,7.500,2.650,-0.660,0,,,,,,,,,,0.000000,,,0
