# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Mar 19 13:12:41 2020
#
# User preference: *
#
# CONSTRAINT:  where (koi_pdisposition like '%CANDIDATE%'
# CONSTRAINT:  and koi_period_str not null
# CONSTRAINT:  and koi_prad_str not null
# CONSTRAINT:  and koi_srad_str not null
# CONSTRAINT:  and koi_smass_str not null)
# CONSTRAINT:  order by kepoi_name asc, koi_period asc
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
#
kepid,kepoi_name,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
10318874,K00104.01,CANDIDATE,2.508057497,3.7800000e-07,-3.7800000e-07,3.25,0.16,-1.200e-01,0.7610,0.0380,-0.0270,0.8350,0.0200,-0.0470
8711794,K00105.01,CANDIDATE,8.981014925,3.0850000e-06,-3.0850000e-06,3.14,0.43,-4.800e-01,0.9670,0.1330,-0.1470,0.7850,0.0730,-0.0280
11250587,K00107.01,CANDIDATE,7.256962446,5.8390000e-06,-5.8390000e-06,3.53,0.21,-1.700e-01,1.5490,0.0910,-0.0740,1.1330,0.1210,-0.0710
4914423,K00108.01,CANDIDATE,15.965327180,1.3680000e-05,-1.3680000e-05,3.33,0.21,-1.700e-01,1.4330,0.0900,-0.0720,1.0680,0.1240,-0.0670
4914423,K00108.02,CANDIDATE,179.609803000,1.8230000e-04,-1.8230000e-04,5.47,0.34,-2.800e-01,1.4330,0.0900,-0.0720,1.0680,0.1240,-0.0670
9450647,K00110.01,CANDIDATE,9.940666412,6.9820000e-06,-6.9820000e-06,2.87,0.50,-2.900e-01,1.2590,0.2190,-0.1280,1.1700,0.0930,-0.0930
6678383,K00111.01,CANDIDATE,11.427550984,8.1500000e-06,-8.1500000e-06,2.35,0.32,-2.700e-01,1.0050,0.1380,-0.1130,0.9130,0.0580,-0.0580
6678383,K00111.02,CANDIDATE,23.668346350,3.0030000e-05,-3.0030000e-05,2.32,0.31,-2.600e-01,1.0050,0.1380,-0.1130,0.9130,0.0580,-0.0580
6678383,K00111.03,CANDIDATE,51.755305040,8.5350000e-05,-8.5350000e-05,2.61,0.35,-3.000e-01,1.0050,0.1380,-0.1130,0.9130,0.0580,-0.0580
10984090,K00112.01,CANDIDATE,51.079264510,6.4560000e-05,-6.4560000e-05,2.75,0.39,-2.800e-01,1.0220,0.1430,-0.1070,0.9740,0.0660,-0.0660
10984090,K00112.02,CANDIDATE,3.709214104,6.5360000e-06,-6.5360000e-06,1.16,0.17,-1.200e-01,1.0220,0.1430,-0.1070,0.9740,0.0660,-0.0660
9579641,K00115.01,CANDIDATE,5.412203927,3.0520000e-06,-3.0520000e-06,2.94,0.43,-3.800e-01,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
9579641,K00115.02,CANDIDATE,7.125943870,1.4060000e-05,-1.4060000e-05,1.79,0.26,-2.300e-01,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
9579641,K00115.03,CANDIDATE,3.435916310,4.7290000e-05,-4.7290000e-05,0.55,0.08,-7.000e-02,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
8395660,K00116.01,CANDIDATE,13.570782810,1.5850000e-05,-1.5850000e-05,2.64,0.40,-2.700e-01,1.0120,0.1540,-0.1030,0.9510,0.0700,-0.0630
8395660,K00116.02,CANDIDATE,43.844397210,9.6130000e-05,-9.6130000e-05,2.87,0.43,-3.000e-01,1.0120,0.1540,-0.1030,0.9510,0.0700,-0.0630
8395660,K00116.03,CANDIDATE,6.164876000,4.6350000e-05,-4.6350000e-05,0.79,0.13,-8.000e-02,1.0120,0.1540,-0.1030,0.9510,0.0700,-0.0630
8395660,K00116.04,CANDIDATE,23.980085400,2.0030000e-04,-2.0030000e-04,1.31,0.20,-1.300e-01,1.0120,0.1540,-0.1030,0.9510,0.0700,-0.0630
10875245,K00117.01,CANDIDATE,14.749148250,2.1740000e-05,-2.1740000e-05,2.89,0.13,-1.000e-01,1.4020,0.0630,-0.0460,1.1130,0.0920,-0.0500
10875245,K00117.02,CANDIDATE,4.901449760,1.0700000e-05,-1.0700000e-05,1.70,0.08,-5.000e-02,1.4020,0.0630,-0.0460,1.1130,0.0920,-0.0500
10875245,K00117.03,CANDIDATE,3.180027898,7.2780000e-06,-7.2780000e-06,1.53,0.07,-5.000e-02,1.4020,0.0630,-0.0460,1.1130,0.0920,-0.0500
10875245,K00117.04,CANDIDATE,7.958253280,7.6730000e-05,-7.6730000e-05,1.06,0.05,-4.000e-02,1.4020,0.0630,-0.0460,1.1130,0.0920,-0.0500
3531558,K00118.01,CANDIDATE,24.993243190,6.1270000e-05,-6.1270000e-05,2.29,0.12,-8.000e-02,1.3170,0.0640,-0.0480,0.9610,0.0820,-0.0550
9471974,K00119.01,CANDIDATE,49.183941850,2.4750000e-05,-2.4750000e-05,8.20,0.50,-5.500e-01,2.0570,0.1250,-0.1380,1.2470,0.0820,-0.0670
9471974,K00119.02,CANDIDATE,190.320046800,5.3270000e-04,-5.3270000e-04,7.78,0.48,-5.200e-01,2.0570,0.1250,-0.1380,1.2470,0.0820,-0.0670
11869052,K00120.01,CANDIDATE,20.545237500,1.4280000e-04,-1.4280000e-04,2.41,0.56,-6.300e-01,1.2640,0.2980,-0.3280,0.9370,0.1510,-0.0880
8349582,K00122.01,CANDIDATE,11.523067458,9.4520000e-06,-9.4520000e-06,3.13,0.20,-1.700e-01,1.4110,0.0910,-0.0730,1.0530,0.1150,-0.0570
5094751,K00123.01,CANDIDATE,6.481633073,6.0040000e-06,-6.0040000e-06,2.54,0.11,-1.200e-01,1.3020,0.0580,-0.0580,1.0090,0.0570,-0.0470
5094751,K00123.02,CANDIDATE,21.222611950,2.9080000e-05,-2.9080000e-05,2.48,0.11,-1.100e-01,1.3020,0.0580,-0.0580,1.0090,0.0570,-0.0470
11086270,K00124.02,CANDIDATE,31.719810130,6.3100000e-05,-6.3100000e-05,3.09,0.49,-7.800e-01,1.6260,0.2540,-0.4130,1.0190,0.0980,-0.0980
11449844,K00125.01,CANDIDATE,38.478766290,4.7310000e-06,-4.7310000e-06,13.26,1.78,-5.900e-01,0.8790,0.1180,-0.0390,0.9730,0.0410,-0.0700
5897826,K00126.02,CANDIDATE,0.875197345,,,0.73,0.11,-1.700e-01,1.7960,0.2810,-0.4220,1.1740,0.1330,-0.1330
8359498,K00127.01,CANDIDATE,3.578780566,1.8300000e-07,-1.8300000e-07,10.43,0.62,-6.200e-01,0.9940,0.0590,-0.0590,0.9500,0.0580,-0.0580
11359879,K00128.01,CANDIDATE,4.942783419,2.4700000e-07,-2.4700000e-07,10.62,1.44,-7.300e-01,0.9780,0.1330,-0.0670,1.0030,0.0460,-0.0610
11974540,K00129.01,CANDIDATE,24.669192732,7.5690000e-06,-7.5690000e-06,77.76,21.27,-3.190e+01,9.3270,2.5510,-3.8260,2.7360,0.1720,-1.4630
5297298,K00130.01,CANDIDATE,34.193600311,3.6580000e-06,-3.6580000e-06,21.95,3.79,-4.630e+00,1.7860,0.3080,-0.3770,1.1400,0.1500,-0.1090
7778437,K00131.01,CANDIDATE,5.014234733,8.5900000e-07,-8.5900000e-07,10.63,3.57,-1.530e+00,1.3070,0.4390,-0.1880,1.3040,0.1690,-0.1870
9818381,K00135.01,CANDIDATE,3.024092505,2.2500000e-07,-2.2500000e-07,12.14,0.79,-9.500e-01,1.3580,0.0880,-0.1070,1.2270,0.0500,-0.0820
8644288,K00137.01,CANDIDATE,7.641567589,1.7690000e-06,-1.7690000e-06,4.91,0.30,-3.300e-01,1.0550,0.0650,-0.0720,0.8820,0.0560,-0.0250
8644288,K00137.02,CANDIDATE,14.858908520,3.8080000e-06,-3.8080000e-06,5.94,0.37,-4.000e-01,1.0550,0.0650,-0.0720,0.8820,0.0560,-0.0250
8644288,K00137.03,CANDIDATE,3.504691252,3.0910000e-06,-3.0910000e-06,2.03,0.13,-1.400e-01,1.0550,0.0650,-0.0720,0.8820,0.0560,-0.0250
8559644,K00139.01,CANDIDATE,224.778935500,2.5690000e-04,-2.5690000e-04,7.67,1.33,-1.200e+00,1.2350,0.2130,-0.1940,1.0920,0.0800,-0.0890
8559644,K00139.02,CANDIDATE,3.341799486,4.9540000e-06,-4.9540000e-06,1.67,0.29,-2.600e-01,1.2350,0.2130,-0.1940,1.0920,0.0800,-0.0890
12105051,K00141.01,CANDIDATE,2.624234833,3.8900000e-07,-3.8900000e-07,5.11,0.60,-2.300e-01,0.8990,0.1050,-0.0400,0.9630,0.0300,-0.0590
4649305,K00143.01,CANDIDATE,22.651174510,1.4740000e-05,-1.4740000e-05,7.62,2.93,-9.800e-01,1.3330,0.5130,-0.1710,1.3330,0.2220,-0.1820
4180280,K00144.01,CANDIDATE,4.176254191,1.7990000e-06,-1.7990000e-06,3.07,0.20,-1.100e-01,0.7760,0.0510,-0.0280,0.8670,0.0250,-0.0560
9904059,K00145.01,CANDIDATE,102.964195200,5.7660000e-04,-5.7660000e-04,39.00,1.10,-9.390e+00,7.1190,0.2010,-1.7130,2.1500,0.0500,-0.8580
5735762,K00148.01,CANDIDATE,4.778003060,3.3820000e-06,-3.3820000e-06,1.85,0.13,-1.400e-01,0.8730,0.0650,-0.0650,0.8560,0.0500,-0.0410
5735762,K00148.02,CANDIDATE,9.673958488,5.4620000e-06,-5.4620000e-06,2.63,0.20,-1.900e-01,0.8730,0.0650,-0.0650,0.8560,0.0500,-0.0410
5735762,K00148.03,CANDIDATE,42.896450240,9.4310000e-05,-9.4310000e-05,2.00,0.15,-1.500e-01,0.8730,0.0650,-0.0650,0.8560,0.0500,-0.0410
3835670,K00149.01,CANDIDATE,14.557308970,1.3950000e-05,-1.3950000e-05,4.32,0.71,-8.600e-01,1.4120,0.2320,-0.2830,1.0480,0.1120,-0.0740
7626506,K00150.01,CANDIDATE,8.408878137,6.1280000e-06,-6.1280000e-06,2.28,0.19,-2.000e-01,0.8120,0.0700,-0.0700,0.7760,0.0580,-0.0390
7626506,K00150.02,CANDIDATE,28.574269200,4.0600000e-05,-4.0600000e-05,2.32,0.19,-2.000e-01,0.8120,0.0700,-0.0700,0.7760,0.0580,-0.0390
2307199,K00151.01,CANDIDATE,13.447179100,1.2470000e-05,-1.2470000e-05,5.24,1.64,-7.000e-01,1.0410,0.3260,-0.1400,1.0010,0.1580,-0.1150
8394721,K00152.01,CANDIDATE,52.090816270,4.2060000e-05,-4.2060000e-05,7.14,1.33,-1.090e+00,1.3240,0.2470,-0.2020,1.1010,0.1090,-0.0810
8394721,K00152.02,CANDIDATE,27.402298590,5.1360000e-05,-5.1360000e-05,3.63,0.67,-5.600e-01,1.3240,0.2470,-0.2020,1.1010,0.1090,-0.0810
8394721,K00152.03,CANDIDATE,13.484576680,2.3000000e-05,-2.3000000e-05,3.39,0.63,-5.200e-01,1.3240,0.2470,-0.2020,1.1010,0.1090,-0.0810
8394721,K00152.04,CANDIDATE,81.063789500,4.0770000e-04,-4.0770000e-04,3.01,0.56,-4.600e-01,1.3240,0.2470,-0.2020,1.1010,0.1090,-0.0810
12252424,K00153.01,CANDIDATE,8.925079516,5.9920000e-06,-5.9920000e-06,2.36,0.16,-8.000e-02,0.6930,0.0490,-0.0210,0.7680,0.0310,-0.0470
12252424,K00153.02,CANDIDATE,4.754000720,2.8460000e-06,-2.8460000e-06,2.00,0.14,-6.000e-02,0.6930,0.0490,-0.0210,0.7680,0.0310,-0.0470
8030148,K00155.01,CANDIDATE,5.660669429,3.7060000e-06,-3.7060000e-06,3.24,0.50,-5.400e-01,1.1730,0.1780,-0.1980,0.9270,0.0780,-0.0520
10925104,K00156.01,CANDIDATE,8.041347775,8.9150000e-06,-8.9150000e-06,1.29,0.08,-7.000e-02,0.5400,0.0330,-0.0330,0.5600,0.0310,-0.0380
10925104,K00156.02,CANDIDATE,5.188563677,6.3660000e-06,-6.3660000e-06,1.00,0.07,-6.000e-02,0.5400,0.0330,-0.0330,0.5600,0.0310,-0.0380
10925104,K00156.03,CANDIDATE,11.776132317,6.9630000e-06,-6.9630000e-06,2.08,0.13,-1.200e-01,0.5400,0.0330,-0.0330,0.5600,0.0310,-0.0380
6541920,K00157.01,CANDIDATE,13.024933070,1.2630000e-05,-1.2630000e-05,2.88,0.19,-1.800e-01,1.0460,0.0680,-0.0680,0.9210,0.0710,-0.0520
6541920,K00157.02,CANDIDATE,22.687155000,2.6450000e-05,-2.6450000e-05,3.20,0.21,-2.100e-01,1.0460,0.0680,-0.0680,0.9210,0.0710,-0.0520
6541920,K00157.03,CANDIDATE,31.995524850,3.1090000e-05,-3.1090000e-05,4.12,0.27,-2.600e-01,1.0460,0.0680,-0.0680,0.9210,0.0710,-0.0520
6541920,K00157.04,CANDIDATE,46.685620500,1.1200000e-04,-1.1200000e-04,2.52,0.16,-1.600e-01,1.0460,0.0680,-0.0680,0.9210,0.0710,-0.0520
6541920,K00157.05,CANDIDATE,118.378673500,3.1670000e-04,-3.1670000e-04,3.40,0.22,-2.200e-01,1.0460,0.0680,-0.0680,0.9210,0.0710,-0.0520
6541920,K00157.06,CANDIDATE,10.304011320,1.8350000e-05,-1.8350000e-05,1.84,0.12,-1.200e-01,1.0460,0.0680,-0.0680,0.9210,0.0710,-0.0520
8972058,K00159.01,CANDIDATE,8.990886210,1.1350000e-05,-1.1350000e-05,2.78,0.46,-3.900e-01,1.1710,0.1960,-0.1610,1.0320,0.0890,-0.0670
8972058,K00159.02,CANDIDATE,2.403640701,7.5400000e-06,-7.5400000e-06,1.24,0.20,-1.700e-01,1.1710,0.1960,-0.1610,1.0320,0.0890,-0.0670
6631721,K00160.01,CANDIDATE,13.738082490,2.0020000e-05,-2.0020000e-05,3.84,1.09,-7.300e-01,1.1780,0.3350,-0.2230,0.9910,0.1560,-0.0990
5084942,K00161.01,CANDIDATE,3.105507835,1.1490000e-06,-1.1490000e-06,2.68,0.17,-1.000e-01,0.7910,0.0520,-0.0280,0.8780,0.0210,-0.0560
8107380,K00162.01,CANDIDATE,14.006403920,1.7310000e-05,-1.7310000e-05,3.11,0.45,-4.100e-01,1.1240,0.1640,-0.1480,0.9690,0.0800,-0.0580
6851425,K00163.01,CANDIDATE,11.119902800,1.1660000e-05,-1.1660000e-05,2.08,0.14,-9.000e-02,0.7660,0.0520,-0.0330,0.8160,0.0410,-0.0470
9527915,K00165.01,CANDIDATE,13.221753580,1.3420000e-05,-1.3420000e-05,2.38,0.18,-1.200e-01,0.7990,0.0600,-0.0380,0.8380,0.0460,-0.0460
2441495,K00166.01,CANDIDATE,12.493407250,1.2360000e-05,-1.2360000e-05,2.20,0.17,-1.000e-01,0.7950,0.0600,-0.0370,0.8400,0.0430,-0.0470
11666881,K00167.01,CANDIDATE,4.919584997,4.5560000e-06,-4.5560000e-06,2.86,0.50,-3.600e-01,1.3780,0.2410,-0.1750,1.2240,0.0970,-0.1070
11512246,K00168.01,CANDIDATE,10.742417650,1.6200000e-05,-1.6200000e-05,3.06,0.19,-1.200e-01,1.5180,0.0920,-0.0610,1.0360,0.1010,-0.0590
11512246,K00168.02,CANDIDATE,15.274438890,3.9610000e-05,-3.9610000e-05,2.17,0.13,-9.000e-02,1.5180,0.0920,-0.0610,1.0360,0.1010,-0.0590
11512246,K00168.03,CANDIDATE,7.106957410,1.7400000e-05,-1.7400000e-05,1.72,0.11,-7.000e-02,1.5180,0.0920,-0.0610,1.0360,0.1010,-0.0590
7831264,K00171.01,CANDIDATE,5.968724048,6.0370000e-06,-6.0370000e-06,3.26,0.58,-5.800e-01,1.4390,0.2570,-0.2570,1.1230,0.1160,-0.0850
